Name	meiotic_1_quant	meiotic_2_quant	veg_cells_1_quant	veg_cells_2_quant
YHR008C	122.785	139.943	31.469	44.7876
YOR378W	4.25928	3.55153	0.538937	0.281861
YAR019C	9.47331	8.14031	1.1768	1.41327
YIL047C	50.0638	36.4475	19.2381	13.5722
YDR140W	44.2802	45.9899	26.9054	15.6349
YHR010W	1720.95	1777.21	4871.13	3876.15
YHR014W	56.7841	41.6162	46.0543	47.7288
YNL298W	16.9186	13.9745	3.83688	4.86951
YMR138W	14.5568	16.9258	19.1336	8.97805
YHR018C	91.1845	107.018	86.8044	10.7856
YHR021C	9241.06	7812.79	16079.4	19573.0
YDL055C	316.954	398.868	380.901	276.525
YHR081W	119.805	120.372	60.8753	39.9842
YHR022C	9.36657	10.2057	17.2311	1.48246
YHR022C-A	33.8844	44.5155	8.91948	0.0
YMR207C	4.88092	4.48607	1.66639	1.55378
YIL057C	225.977	208.278	506.36	622.427
YDL166C	47.7082	55.4115	45.7548	36.2783
YIR023W	11.2119	9.23184	2.14529	2.53398
YHR023W	3.44537	1.93147	3.23744	2.85589
YNR008W	6.83855	8.71189	3.72739	3.25486
YMR141C	1.45994	0.925926	1.46734	2.04643
YLR069C	18.1725	21.8806	10.8516	6.94814
YJR005W	20.3727	21.0881	8.69863	5.989
YOR084W	20.3009	22.2162	1.94529	2.09035
YGL203C	13.686	13.9871	4.98407	4.49015
YHR025W	35.3515	36.7875	22.179	40.4533
YHR026W	112.202	124.496	70.4893	101.212
YPR020W	698.16	597.056	248.933	149.322
YHR031C	7.51828	6.96579	6.23289	3.80703
YHR035W	6.04143	6.5519	2.37722	1.06389
YDR135C	10.9014	9.86784	8.55165	7.81233
YGL243W	28.3088	30.6604	24.468	9.34154
YJR044C	66.5197	62.949	28.4736	39.7107
YHR038W	11.4621	8.41318	7.17173	6.23982
YJR040W	2.99717	3.17533	3.91887	3.61771
YHR019C	44.5767	48.1626	44.3907	58.692
YHR043C	6.5298	6.74319	6.55547	4.0753
YIL145C	11.7708	13.1675	14.2308	14.4071
YOR061W	62.9964	66.9826	35.242	31.7814
YJL111W	46.4969	47.2052	41.0101	32.0163
YHR046C	26.1946	29.5704	35.5892	13.89
YLR262C-A	4557.35	3911.92	4242.4	4256.1
YHR049W	177.531	188.118	51.0988	49.3374
YDR300C	25.3064	29.986	30.8902	14.4257
YHR050W	38.162	42.5338	6.20425	6.9106
YEL070W	11.0515	11.687	0.254273	0.096864
YHR050W-A	960.409	1047.58	807.946	326.517
YHR052C-B	5631.11	6089.16	2001.28	26912.6
YHR053C	543.778	577.235	31.3043	349.414
YHR056C	5.95646	6.2539	4.22602	3.90449
YHR061C	0.842132	0.613492	1.55174	2.16413
YDR132C	12.3046	11.0332	4.3321	3.15223
YJL062W	4.19968	3.93603	3.35268	3.82402
YGL073W	12.7489	11.9124	3.11925	3.0506
YHR062C	25.8927	28.4781	22.9214	24.1202
YHR065C	69.0608	74.3444	52.0756	24.727
YOL141W	3.20155	4.20291	3.74255	1.59241
YGR170W	3.88343	3.26758	3.00955	2.49012
YHR098C	19.0475	14.701	9.50162	10.7548
YHR069C	74.3085	88.5873	74.3085	31.3451
YHR070W	8.39009	10.1769	13.3845	9.17078
YOR174W	30.5779	34.0687	32.9535	14.9836
YHR071W	123.77	97.1734	17.2071	12.1867
YDL090C	7.48578	8.36833	8.19251	4.62469
YHR072W	62.4161	69.5747	27.2003	23.1663
YNL202W	6.27456	7.49639	0.139018	0.064627
YHR073W	9.49048	8.57384	8.29443	6.52545
YFL058W	5.63303	5.01478	0.890672	1.25404
YHR074W	14.3409	12.4677	6.19865	5.57739
YGL027C	7.44211	7.18796	5.3972	5.0362
YHR076W	18.5695	19.0256	24.0784	16.9984
YOL055C	42.6389	47.8497	31.1415	40.1455
YMR323W	2.62324	2.23367	0.027394	0.019103
YDL199C	7.69557	6.44861	0.546315	0.515416
YHR077C	18.4793	16.3807	10.8772	9.11274
YLR096W	13.2134	12.1275	4.32558	4.6836
YHR078W	20.1126	19.2709	8.93663	6.77991
YPR122W	0.833781	0.708537	0.466084	0.216675
YDL005C	18.9262	19.3599	8.22037	5.71285
YIL110W	34.491	39.4997	48.6671	26.7632
YDR120C	29.3338	29.5109	31.4586	21.2006
YHR079C-A	101.504	81.2764	1.78552	0.0
YDL130W-A	1354.19	1454.18	36.0588	38.5552
YHR080C	9.53574	9.63911	3.00862	2.10336
YHR082C	63.0147	60.1114	4.32081	5.21015
YER111C	5.83539	4.45535	3.52808	3.95512
YHR091C	11.8403	12.9103	4.10699	3.14184
YPR128C	11.955	13.3607	21.3564	11.1968
YHR096C	101.863	106.309	0.136634	0.053734
YMR169C	10.2577	10.801	1.82788	1.84077
YGR045C	2.09978	2.4859	0.257942	0.719478
YJL158C	81.4017	55.587	68.2914	103.489
YGL010W	107.882	89.8356	13.4608	8.13012
YHR097C	28.9695	27.651	1.33578	1.52858
YDR034C-A	45.5609	41.6515	15.1265	21.0961
YHR100C	31.5341	25.5045	6.8137	11.0865
YMR189W	111.43	92.3543	16.488	11.3338
YDR365W-B	0.381696	0.220573	0.0501	0.0
YHR103W	12.8726	11.0621	11.2853	7.53506
YHR104W	48.619	57.7137	4.68584	6.14744
YPR093C	8.96036	11.9023	2.551	1.84476
YHR105W	6.32737	9.79112	2.87785	1.23496
YHR107C	26.2693	22.5111	12.3293	13.8145
YLR460C	4.58444	4.366	1.12301	0.85351
YBR208C	84.3073	75.3184	0.89804	1.0901
YJL166W	3079.48	3119.97	1140.55	609.551
YHR108W	13.4845	12.7966	10.4954	15.0957
YOR293C-A	0.0	1.93765	0.0	0.0
YHR109W	3.41439	3.74885	2.26144	1.72523
YOR254C	50.6199	53.6376	49.3098	38.3404
YLR079W	17.4787	18.05	12.3817	12.1616
YGR094W	58.8043	55.0669	36.0991	45.2528
YHR110W	58.1703	63.9727	29.2224	25.0801
YOR192C-A	0.0	0.01675	0.0	0.0
YHR115C	20.4012	16.5069	8.03667	7.75651
YHR118C	14.1962	15.3568	11.0749	6.76229
YHR119W	10.9323	9.45754	4.48947	3.65353
YML036W	30.0069	30.8429	21.4667	19.2266
YLR059C	11.0588	13.5706	7.75532	8.2753
YHR120W	11.0849	10.7381	14.2302	9.0266
YHR121W	46.8507	51.9672	78.9953	49.0655
YGR127W	17.5748	15.3689	1.56525	2.65497
YHR124W	3.89769	3.17	0.136966	0.239838
YPL079W	670.742	735.292	1581.02	1622.14
YHR170W	93.7124	102.811	78.1206	42.5167
YPR082C	64.0125	64.3286	47.725	29.2595
