Name	Hy2489_1_quant	Hy2489_2_quant	P6_1_quant	P6_2_quant
NCU08734	0.071966	0.114597	2.90841	4.0213
NCU01472	2.77958	2.85764	38.2384	51.7399
NCU00554	292.867	173.678	39.9319	48.2414
NCU08484	15.3472	11.3865	51.0321	66.6621
NCU16454	75.5562	78.3172	113.282	123.678
NCU04126	0.0	0.0	0.798113	0.588859
NCU00118	3.06892	2.30598	70.0993	97.5238
NCU16453	45.2893	25.1739	115.3	86.0839
NCU06523	1.4108	1.12605	6.69544	5.82974
NCU07445	18.7669	12.1919	21.7233	31.7068
NCU00129	12.1206	6.4195	23.1164	21.1102
NCU00556	44.3687	28.9957	95.3559	98.3776
NCU01916	76.7855	36.6775	25.9336	35.2078
NCU16452	7.31046	5.18312	11.2112	5.51198
NCU08533	0.0	0.0	11.2236	15.2046
NCU00559	4.01848	3.10661	61.7825	74.3622
NCU01923	0.0	0.0	0.0	0.0
NCU00560	19.1913	23.8369	9.26082	11.6088
NCU10048	7.20366	11.0527	11.2807	9.71683
NCU00361	228.158	132.864	63.3403	78.9528
NCU00561	16.2327	13.2946	23.7022	24.7426
NCU01156	9.62846	8.59442	15.5848	16.4304
NCU03305	46.4718	40.5034	36.2531	45.1334
NCU03779	44.0727	89.1	49.0592	55.6238
NCU08366	9.50564	10.3451	9.92869	11.5946
NCU00562	71.1219	54.0847	26.2204	28.0213
NCU02361	13.12	12.785	2.85948	3.30839
NCU02854	6.06842	0.927013	4.3725	7.80755
NCU00569	34.7608	43.3595	36.803	31.2492
