Name	P6_1_quant
NEUTE1DRAFT_126614	51.9417
NEUTE1DRAFT_150622	32.9758
NEUTE1DRAFT_92411	107.058
NEUTE1DRAFT_92403	5.48763
NEUTE1DRAFT_126605	86.6957
NEUTE1DRAFT_126604	0.359155
NEUTE1DRAFT_115098	24.4143
NEUTE1DRAFT_115094	20.787
NEUTE1DRAFT_115093	48.6285
NEUTE1DRAFT_106178	0.352772
NEUTE1DRAFT_92381	10.6043
NEUTE1DRAFT_53848	3.96301
NEUTE1DRAFT_106170	0
NEUTE1DRAFT_17854	0
NEUTE1DRAFT_119125	147.367
NEUTE1DRAFT_119124	206.243
NEUTE1DRAFT_92343	19.1745
NEUTE1DRAFT_92339	15.3046
NEUTE1DRAFT_150589	6.67612
NEUTE1DRAFT_150588	3.32957
NEUTE1DRAFT_52153	23.8441
NEUTE1DRAFT_115061	0
NEUTE1DRAFT_126582	19.3053
NEUTE1DRAFT_115059	1.88561
NEUTE1DRAFT_55652	32.8673
NEUTE1DRAFT_73626	136.871
NEUTE1DRAFT_150582	18.3987
NEUTE1DRAFT_106139	0
NEUTE1DRAFT_126575	307.275
NEUTE1DRAFT_119113	96.0386
NEUTE1DRAFT_133657	73.3901
NEUTE1DRAFT_55328	18.7851
NEUTE1DRAFT_92274	9.73426
NEUTE1DRAFT_92273	20.8291
NEUTE1DRAFT_106119	22.1743
NEUTE1DRAFT_106118	13.1164
NEUTE1DRAFT_119246	101.051
NEUTE1DRAFT_106116	165.881
NEUTE1DRAFT_92264	63.4418
NEUTE1DRAFT_126555	22.0947
NEUTE1DRAFT_150553	16.3615
NEUTE1DRAFT_92235	45.5911
NEUTE1DRAFT_54771	0
NEUTE1DRAFT_33744	334.56
NEUTE1DRAFT_119096	473.671
NEUTE1DRAFT_92219	74.2027
NEUTE1DRAFT_133634	35.6282
NEUTE1DRAFT_126541	93.8892
NEUTE1DRAFT_51117	19.2934
NEUTE1DRAFT_133630	4.12212
NEUTE1DRAFT_106091	70.1665
NEUTE1DRAFT_92198	96.4202
NEUTE1DRAFT_150536	10.2171
NEUTE1DRAFT_150535	12.4785
NEUTE1DRAFT_150534	17.6939
NEUTE1DRAFT_126529	16.6414
NEUTE1DRAFT_114998	0
NEUTE1DRAFT_143464	5.85373
NEUTE1DRAFT_106082	11.7401
NEUTE1DRAFT_73486	38.8882
NEUTE1DRAFT_150529	9.97808
NEUTE1DRAFT_92173	34.9241
NEUTE1DRAFT_119090	42.967
NEUTE1DRAFT_126521	11.5244
NEUTE1DRAFT_106071	6.32326
NEUTE1DRAFT_119089	83.8049
NEUTE1DRAFT_119084	146.948
NEUTE1DRAFT_150514	40.1077
NEUTE1DRAFT_92118	19.2123
NEUTE1DRAFT_92112	12.0008
NEUTE1DRAFT_73413	12.7649
NEUTE1DRAFT_119073	9.59971
NEUTE1DRAFT_126495	60.8553
NEUTE1DRAFT_92093	52.8484
NEUTE1DRAFT_150498	16.4663
NEUTE1DRAFT_133586	8.03426
NEUTE1DRAFT_126487	124.682
NEUTE1DRAFT_73667	9.92754
NEUTE1DRAFT_92073	85.212
NEUTE1DRAFT_126484	4.70344
NEUTE1DRAFT_126619	35.2197
NEUTE1DRAFT_126483	45.0757
NEUTE1DRAFT_150487	77.5628
NEUTE1DRAFT_142911	25.7572
NEUTE1DRAFT_119066	1.64096
NEUTE1DRAFT_106030	3.47594
NEUTE1DRAFT_114950	0
NEUTE1DRAFT_114949	0.336869
NEUTE1DRAFT_73358	191.605
NEUTE1DRAFT_51934	18.0276
NEUTE1DRAFT_119061	722.658
NEUTE1DRAFT_18864	0
NEUTE1DRAFT_92040	33.713
NEUTE1DRAFT_92039	179.773
NEUTE1DRAFT_92035	8.31353
NEUTE1DRAFT_133567	19.8427
NEUTE1DRAFT_92020	11.7839
